Image Path,Number of Vehicles
images\cars_20.jpg,1
images\cars_22.jpg,1
images\cars_23.jpg,1
images\cars_40.jpg,1
images\cars_44.jpg,1
images\pexels-adrien-olichon-2387615.jpg,4
images\pexels-aleks-magnusson-3441201.jpg,6
images\pexels-aleksey-kuprikov-3568630.jpg,2
images\pexels-alex-pham-950223.jpg,10
images\pexels-ashley-fontana-705774.jpg,6
images\pexels-charles-kettor-1077785.jpg,8
images\pexels-charles-parker-5845724.jpg,4
images\pexels-ekrulila-3901959.jpg,1
images\pexels-elviss-railijs-bitans-1210622.jpg,2
images\pexels-erik-mclean-4928599.jpg,2
images\pexels-jacob-morch-457418.jpg,1
images\pexels-jose-mueses-1280560.jpg,5
images\pexels-kaboompics-com-6147.jpg,3
images\pexels-kaique-rocha-125514.jpg,2
images\pexels-kelly-lacy-2833655.jpg,6
images\pexels-kendall-hoopes-1015555.jpg,2
images\pexels-ketan-kumawat-724948.jpg,11
images\pexels-lina-kivaka-3992172.jpg,4
images\pexels-mali-maeder-457609.jpg,5
images\pexels-nordic-overdrive-627719.jpg,2
images\pexels-scott-webb-2385546.jpg,4
images\pexels-svh-2684219.jpg,1
images\cars_1.jpeg,1
images\cars_10.jpeg,1
images\cars_11.jpeg,1
images\cars_12.jpeg,1
images\cars_13.jpeg,0
images\cars_14.jpeg,1
images\cars_15.jpeg,1
images\cars_16.jpeg,0
images\cars_17.jpeg,1
images\cars_18.jpeg,1
images\cars_19.jpeg,1
images\cars_2.jpeg,9
images\cars_20.jpeg,0
images\cars_21.jpeg,1
images\cars_24.jpeg,10
images\cars_25.jpeg,10
images\cars_26.jpeg,0
images\cars_27.jpeg,1
images\cars_28.jpeg,2
images\cars_29.jpeg,1
images\cars_3.jpeg,1
images\cars_30.jpeg,0
images\cars_31.jpeg,0
images\cars_32.jpeg,7
images\cars_33.jpeg,0
images\cars_34.jpeg,0
images\cars_35.jpeg,1
images\cars_36.jpeg,1
images\cars_37.jpeg,4
images\cars_38.jpeg,1
images\cars_39.jpeg,2
images\cars_4.jpeg,0
images\cars_40.jpeg,4
images\cars_41.jpeg,1
images\cars_42.jpeg,1
images\cars_43.jpeg,1
images\cars_44.jpeg,0
images\cars_45.jpeg,3
images\cars_46.jpeg,1
images\cars_47.jpeg,1
images\cars_48.jpeg,1
images\cars_49.jpeg,0
images\cars_5.jpeg,3
images\cars_50.jpeg,1
images\cars_6.jpeg,0
images\cars_7.jpeg,1
images\cars_8.jpeg,1
images\cars_9.jpeg,1
Total vehicle in the folder,176
